N,NITS,Error, FLOPS, Time,Time/Call, MFLOPS
1024,10,2.308607e-16, 1024000, 0.00264,1.320004e-04,387.877476
2048,10,2.447624e-16, 2252800, 0.00314,1.572490e-04,716.316280
4096,10,2.479782e-16, 4915200, 0.00455,2.273917e-04, 1080.778140
8192, 1,2.578834e-16, 1064960, 0.00058,2.884865e-04, 1845.771069
16384, 1,2.731273e-16, 2293760, 0.00104,5.199909e-04, 2205.576970
32768, 1,2.921322e-16, 4915200, 0.00155,7.729530e-04, 3179.494605
65536, 1,2.828400e-16,10485760, 0.00315,1.572967e-03, 3333.115961
131072, 1,3.149840e-16,22282240, 0.00523,2.614021e-03, 4262.061673
262144, 1,3.219822e-16,47185920, 0.01231,6.157398e-03, 3831.644331
524288, 1,3.279652e-16,99614720, 0.02115,1.057398e-02, 4710.368751
1048576, 1,3.284238e-16, 209715200, 0.05188,2.593756e-02, 4042.693732
2097152, 1,3.509064e-16, 440401920, 0.08701,4.350507e-02, 5061.500806
4194304, 1,3.560301e-16, 922746880, 0.22190,1.109486e-01, 4158.444500
8388608, 1,3.711263e-16,1929379840, 0.35893,1.794640e-01, 5375.395698
16777216, 1,3.653336e-16,4026531840, 1.01422,5.071095e-01, 3970.081076
33554432, 1,3.816355e-16,8388608000, 1.70232,8.511596e-01, 4927.752839
