N,NITS,Error, FLOPS, Time,Time/Call, MFLOPS
2, 10000,7.859082e-17,200000,1.800000e-01,9.000000e-06,1.111111
4, 10000,1.209837e-16,800000,3.500000e-01,1.750000e-05,2.285714
8, 10000,6.820795e-17, 2400000,2.700000e-01,1.350000e-05,8.888889
16, 10000,1.438671e-16, 6400000,1.800000e-01,9.000000e-06, 35.555556
32,1000,1.331210e-16, 1600000,1.000000e-02,5.000000e-06,160.000000
64,1000,1.776545e-16, 3840000,2.000000e-02,1.000000e-05,192.000000
128,1000,1.929043e-16, 8960000,3.000000e-02,1.500000e-05,298.666667
256,1000,2.092319e-16,20480000,5.000000e-02,2.500000e-05,409.600000
512, 100,1.927488e-16, 4608000,0.000000e+00,0.000000e+00, inf
1024, 100,2.308607e-16,10240000,1.000000e-02,5.000000e-05, 1024.000000
2048, 100,2.447624e-16,22528000,3.000000e-02,1.500000e-04,750.933333
4096, 100,2.479782e-16,49152000,6.000000e-02,3.000000e-04,819.200000
8192,10,2.578834e-16,10649600,1.000000e-02,5.000000e-04, 1064.960000
16384,10,2.731273e-16,22937600,3.000000e-02,1.500000e-03,764.586667
32768,10,2.921322e-16,49152000,5.000000e-02,2.500000e-03,983.040000
65536,10,2.828400e-16, 104857600,1.300000e-01,6.500000e-03,806.596923
131072, 1,3.149840e-16,22282240,3.000000e-02,1.500000e-02,742.741333
262144, 1,3.219822e-16,47185920,5.000000e-02,2.500000e-02,943.718400
524288, 1,3.279652e-16,99614720,1.100000e-01,5.500000e-02,905.588364
1048576, 1,3.284238e-16, 209715200,2.600000e-01,1.300000e-01,806.596923
2097152, 1,3.509064e-16, 440401920,5.400000e-01,2.700000e-01,815.559111
4194304, 1,3.560301e-16, 922746880,1.160000e+00,5.800000e-01,795.471448
8388608, 1,3.711263e-16,1929379840,2.390000e+00,1.195000e+00,807.271900
16777216, 1,3.653336e-16,4026531840,5.110000e+00,2.555000e+00,787.971006
33554432, 1,3.816355e-16,8388608000,1.040000e+01,5.200000e+00,806.596923
